atlasindex;fin;swe;eng;
;;;;
1;1 Epätodennäköinen pesintä;1 Sannolikt ingen häckning;1 Breeding unlikely;
2;2 Mahdollinen pesintä;2 Möjlig häckning;2 Possible breeding;
3;3 Mahdollinen pesintä;3 Möjlig häckning;3 Possible breeding;
4;4 Todennäköinen pesintä;4 Sannolik häckning;4 Probable breeding;
5;5 Todennäköinen pesintä;5 Sannolik häckning;5 Probable breeding;
6;6 Todennäköinen pesintä;6 Sannolik häckning;6 Probable breeding;
61;61 Todennäköinen pesintä;61 Sannolik häckning;61 Probable breeding;
62;62 Todennäköinen pesintä;62 Sannolik häckning;62 Probable breeding;
63;63 Todennäköinen pesintä;63 Sannolik häckning;63 Probable breeding;
64;64 Todennäköinen pesintä;64 Sannolik häckning;64 Probable breeding;
65;65 Todennäköinen pesintä;65 Sannolik häckning;65 Probable breeding;
66;66 Todennäköinen pesintä;66 Sannolik häckning;66 Probable breeding;
7;7 Varma pesintä;7 Säker häckning;7 Confirmed breeding;
71;71 Varma pesintä;71 Säker häckning;71 Confirmed breeding;
72;72 Varma pesintä;72 Säker häckning;72 Confirmed breeding;
73;73 Varma pesintä;73 Säker häckning;73 Confirmed breeding;
74;74 Varma pesintä;74 Säker häckning;74 Confirmed breeding;
75;75 Varma pesintä;75 Säker häckning;75 Confirmed breeding;
8;8 Varma pesintä;8 Säker häckning;8 Confirmed breeding;
81;81 Varma pesintä;81 Säker häckning;81 Confirmed breeding;
82;82 Varma pesintä;82 Säker häckning;82 Confirmed breeding;
