direction;fin;swe;eng
;;;
N;Pohjoinen;Nord;North
NNE;Pohjoiskoillinen;Nordnordost;North-northeast
NE;Koillinen;Nordost;Northeast
ENE;Itäkoillinen;Ostnordost;East-northeast
E;Itä;Öst;East
ESE;Itäkaakko;Ostsydost;East-southeast
SE;Kaakko;Sydost;Southeast
SSE;Eteläkaakko;Sydsydost;South-southeast
S;Etelä;Syd;South
SSW;Etelälounas;Sydsydväst;South-southwest
SW;Lounas;Sydväst;Southwest
WSW;Länsilounas;Västsydväst;West-southwest
W;Länsi;Väst;West
WNW;Länsiluode;Västnordväst;West-northwest
NW;Luode;Nordväst;Northwest
NNW;Pohjoisluode;Nordnordväst;North-northwest
