dress;fin;swe;eng;
;;;;
ad;aikuinen;gammal;adult;
eijp;ei-juhlapuku;utfärgad;Non-summer plumage;
imm;ei-sukukypsä;immature;immature;
jp;juhlapuku;sommardräkt;breeding plumage;
juv;1. täydellinen puku;första riktiga fjäderdräkt;juvenile;
n-puk;naaraspukuinen;Honfärgad;female plumage;
pep;peruspuku;grunddräkt;basic plumage;
pull;untuvapoikanen;dununge;pulli;
ss;sulkasatoinen;ruggning;moulting;
subad;juv- ja ad pukujen välissä;samlad benämning för en fågel som är någonstans mellan adult och juvenil;subadult;
tp;talvipuku;vinterdräkt;winter plumage;
vp;vaihtopuku;eklipsdräkt;eclipse plumage;
