;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;
1;Joutsenet;Swans;Anatidae;Joutsenlaji;Cygnus (släktet);CYGSP;Cygnus sp;S;
2;Joutsenet;Swans;Anatidae;Kyhmyjoutsen;Knölsvan;CYGOLO;Cygnus olor;A;
3;Joutsenet;Swans;Anatidae;Mustajoutsen;Svart svan;CYGATR;Cygnus atratus;E;
4;Joutsenet;Swans;Anatidae;Pikkujoutsen;Mindre sångsvan;CYGCOL;Cygnus columbianus;A;
5;Joutsenet;Swans;Anatidae;Pikkujoutsen (alalaji bewickii);Mindre sångsvan (rasen bewickii);CYGCOLBEW;Cygnus columbianus bewickii;R;
6;Joutsenet;Swans;Anatidae;Pikkujoutsen (alalaji columbianus);Mindre sångsvan (rasen columbianus);CYGCOLCOL;Cygnus columbianus columbianus;R;
7;Joutsenet;Swans;Anatidae;Pikkujoutsen / laulujoutsen;Mindre sångsvan / sångsvan;CYGCOL/CYGCYG;Cygnus columbianus/cygnus;S;
8;Joutsenet;Swans;Anatidae;Laulujoutsen;Sångsvan;CYGCYG;Cygnus cygnus;A;
9;Hanhet;Geese;Anatidae;Hanhi;Ob. gås;ANS/BRA;Anser/Branta;S;
10;Hanhet;Geese;Anatidae;Harmaahanhilaji;Anser (släktet);ANSSP;Anser sp;S;
11;Hanhet;Geese;Anatidae;Metsähanhi;Sädgås;ANSFAB;Anser fabalis;A;
12;Hanhet;Geese;Anatidae;Metsähanhi (alalaji fabalis);Sädgås (rasen fabalis);ANSFABFAB;Anser fabalis fabalis;R;
13;Hanhet;Geese;Anatidae;Metsähanhi (alalaji rossicus);Sädgås (rasen rossicus);ANSFABROS;Anser fabalis rossicus;R;
14;Hanhet;Geese;Anatidae;Lyhytnokkahanhi;Spetsbergsgås;ANSBRA;Anser brachyrhynchus;R;
15;Hanhet;Geese;Anatidae;Tundrahanhi;Bläsgås;ANSALB;Anser albifrons;A;
16;Hanhet;Geese;Anatidae;Tundrahanhi (alalaji albifrons);Bläsgås (rasen albifrons);ANSALBALB;Anser albifrons albifrons;R;
17;Hanhet;Geese;Anatidae;Tundrahanhi (alalaji flavirostris);Bläsgås (rasen flavirostris);ANSALBFLA;Anser albifrons flavirostris;R;
18;Hanhet;Geese;Anatidae;Tundrahanhi / kiljuhanhi;Bläsgås / fjällgås;ANSALB/ANSERY;Anser albifrons/erythropus;R;
19;Hanhet;Geese;Anatidae;Tundrahanhi X kiljuhanhi;Bläsgås X fjällgås;ANSALBXANSERY;Anser albifrons x erythropus;X;
20;Hanhet;Geese;Anatidae;Tundrahanhi X merihanhi;Bläsgås X grågås;ANSALBXANSANS;Anser albifrons x anser;X;
21;Hanhet;Geese;Anatidae;Kiljuhanhi;Fjällgås;ANSERY;Anser erythropus;A;
22;Hanhet;Geese;Anatidae;Merihanhi;Grågås;ANSANS;Anser anser;A;
23;Hanhet;Geese;Anatidae;Merihanhi X kanadanhanhi;Grågås X kanadagås;ANSANSXBRACAN;Anser anser x Branta canadensis;X;
