Id;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;ENGLANTI;Ryhmät_ruo;
1;Joutsenet;Swans;Anatidae;Joutsenlaji;Cygnus (släktet);CYGSP;Cygnus sp;S;Cygnus (genus);Svanar;
2;Joutsenet;Swans;Anatidae;Kyhmyjoutsen;Knölsvan;CYGOLO;Cygnus olor;A;Mute Swan;Svanar;
3;Joutsenet;Swans;Anatidae;Mustajoutsen;Svart svan;CYGATR;Cygnus atratus;E;Black Swan;Svanar;
4;Joutsenet;Swans;Anatidae;Pikkujoutsen;Mindre sångsvan;CYGCOL;Cygnus columbianus;A;Tundra Swan;Svanar;
5;Joutsenet;Swans;Anatidae;Pikkujoutsen (alalaji bewickii);Mindre sångsvan (rasen bewickii);CYGCOLBEW;Cygnus columbianus bewickii;R;Tundra Swan (subspecies bewickii);Svanar;
6;Joutsenet;Swans;Anatidae;Pikkujoutsen (alalaji columbianus);Mindre sångsvan (rasen columbianus);CYGCOLCOL;Cygnus columbianus columbianus;R;Tundra Swan (subspecies columbianus);Svanar;
7;Joutsenet;Swans;Anatidae;Pikkujoutsen / laulujoutsen;Mindre sångsvan / sångsvan;CYGCOL/CYGCYG;Cygnus columbianus/cygnus;S;Tundra /  Whooper Swan;Svanar;
8;Joutsenet;Swans;Anatidae;Laulujoutsen;Sångsvan;CYGCYG;Cygnus cygnus;A;Whooper Swan;Svanar;
9;Hanhet;Geese;Anatidae;Hanhi;Ob. gås;ANS/BRA;Anser/Branta;S;Goose (Anser / Branta);Gäss;
10;Hanhet;Geese;Anatidae;Harmaahanhilaji;Anser (släktet);ANSSP;Anser sp;S;Anser (genus);Gäss;
11;Hanhet;Geese;Anatidae;Metsähanhi;Sädgås;ANSFAB;Anser fabalis;A;Bean Goose;Gäss;
12;Hanhet;Geese;Anatidae;Metsähanhi (alalaji fabalis);Sädgås (rasen fabalis);ANSFABFAB;Anser fabalis fabalis;R;Bean Goose (subspecies fabalis);Gäss;
