tila
E;itä
ENE;itäkoillinen
ESE;itäkaakko
kiert;kiertelevä
kontr;kontrolloitu
kuollut;kuollut
lask;laskeutuva
m;muuttava
N;pohjoinen
NE;koillinen
N-E;pohjoinen-itä
NNE;pohjoiskoillinen
NNW;pohjoisluode
nous;nouseva
NW;luode
N-W;pohjoinen-länsi
p;paikallinen
pysrev;pysyvä reviiri
pyyd;pyydystetty
reng;rengastettu
rev;reviiri
rumm;rummuttava
S;etelä
SE;kaakko
S-E;etelä-itä
SSE;eteläkaakko
SSW;etelälounas
SW;lounas
S-W;etelä-länsi
var;varoitteleva
W;länsi
WNW;länsiluode
WSW;länsilounas
yöm;yömuuttava
ä;ääntelevä
Ä;laulava
Än;laulava ja nähty
